毒鼠强 【临床特点】经呼吸道或消化道黏膜迅速吸收后导致严重阵挛性惊厥和脑干刺激的癫痫大发作。【综合疗法】1、迅速洗胃、越早疗效越好；2.清水洗胃后胃管内注入:(1)活性炭50～100g吸附毒物(2)20%～30%硫酸镁导泻；3.保护心肌:静滴极化液，l,6二磷酸果糖和维生素B6；4、禁用阿片类药。【特效疗法】1、抗惊厥：推荐苯巴比妥和地西泮联用(1)地西泮每次10~20mg静注或50~100mg加入10%葡萄糖液250mg静滴，总量200mg(2)苯巴比妥钠0.1g，每6~12小时肌注，用1~3天(3)咖么-羟基丁酸钠60~80mg/(kg*h)静滴(4)异丙酚2~12mg/(kg*h)静滴(5)硫喷妥钠3mg/(kg*h)间断静注，直至抽搐停止(6)二巯基丙磺酸钠，0.125~0.25g每8小时一次，肌注，第1~2天；0.125每12小时一次，肌注，第3~4天；0.125每天一次，肌注，第5~7天。2、血液净化(血液灌流、血液透析、血浆置换)加速毒鼠强排出体外。
汽油 饮、吸入头痛、头晕，重者精神失常、昏迷、惊厥、呼吸麻痹。1，避免洗胃免误吸。
煤油 误吸支气管炎、化学性肺炎。1，肺炎：吸氧、抗生素。
苯 饮吸入大量，麻醉现象。1，脱离环境。2保持呼吸道通畅。
四氯化碳 饮、吸入，麻醉、消化道刺激症状，重者肝肾心肌损害。1，保肝。保肾。
刺激性气体(氨、氯、光气二氧化氮） 眼、呼吸道刺激症状，重者2—24小时肺水肿。1，脱离环境。2，吸氧。3，解气管痉挛。4，防治肺水肿：糖皮质激素，消泡剂，或气管切开。
硫化氢 吸入眼、呼吸道刺激症状，心悸、肺水肿、昏迷，重者昏迷、惊厥、呼吸停止。1，脱离环境。2，吸氧。3，机械通气。
氰化物（氰化氢、氢化钠、氰化钾） 吸食入，呼气苦杏仁味，头晕、头痛、嗜睡、呼吸困难、心率快、血压低、皮肤潮红、昏迷、惊厥、呼吸心跳停止。1，脱离环境。2，吸氧。3，解毒药：立即亚硝酸已戊酯吸入，3%亚硝酸納10毫升静脉注射，随即25%硫代硫酸钠50毫升静脉注射。
高铁血红蛋白生成物（亚硝酸盐、苯胺、硝基苯） 食入亚硝酸盐引起“肠源性紫绀”。吸食入或皮肤吸收苯胺、硝基苯后，紫绀，重者昏迷，抽搐、呼吸衰竭。1，口服者洗胃。2，肥皂、清水洗皮肤。3，吸氧。4，机械通气。
水杨酸类（阿司匹林） 恶心，呕吐，出汗，面色潮红，出血，呼吸性碱中毒和代谢性酸中毒，低钾血症，低血糖。1，碳酸氢钠溶液碱化尿液。2，纠正低钾血症、代谢性酸中毒。3，维生素K1，10-25毫克肌肉注射。４，血液透析。
阿托品（颠茄，曼陀罗，洋金花，异烟肼） 口感，吞咽困难，皮肤干燥潮红，瞳孔散大，视力模糊，心动过速，排尿困难，发热，重者谵妄，幻觉，躁动，抽搐，昏迷。１，躁动：地西泮１０毫克肌注。２，惊厥：地西泮，苯巴比妥。３，解毒药：维生素Ｂ６200-400毫克一天，静脉输入。4，烟酰胺400毫克一天，静脉滴注。
乌头（附子，雪上一支蒿） 口舌四肢麻木，肌强直，抽搐，呕吐，腹泻，心动过缓，心律失常，呼吸循环衰竭。嗜睡，肌颤，惊厥，呼吸肌痉挛和窒息。1解毒药：阿托品。2，抗心律失常：阿托品等。3，复苏措施。

